na_sales,eu_sales,jp_sales,other_sales,global_sales,platform,KMeans_Label
41.49,29.02,3.77,8.46,82.74,Wii,1
29.08,3.58,6.81,0.77,40.24,NES,0
15.85,12.88,3.79,3.31,35.82,Wii,1
15.75,11.01,3.28,2.96,33.0,Wii,1
11.27,8.89,10.22,1.0,31.37,GB,2
23.2,2.26,4.22,0.58,30.26,GB,2
11.38,9.23,6.5,2.9,30.01,DS,2
14.03,9.2,2.93,2.85,29.02,Wii,1
14.59,7.06,4.7,2.26,28.62,Wii,1
26.93,0.63,0.28,0.47,28.31,NES,0
9.07,11.0,1.93,2.75,24.76,DS,2
9.81,7.57,4.13,1.92,23.42,DS,2
9.0,6.18,7.2,0.71,23.1,GB,2
8.94,8.03,3.6,2.15,22.72,Wii,1
9.09,8.59,2.53,1.79,22.0,Wii,1
14.97,4.94,0.24,1.67,21.82,X360,1
7.01,9.27,0.97,4.14,21.4,PS3,0
9.43,0.4,0.41,10.57,20.81,PS2,0
12.78,3.75,3.54,0.55,20.61,SNES,1
4.75,9.26,4.16,2.05,20.22,DS,2
6.42,4.52,6.04,1.37,18.36,DS,2
10.83,2.71,4.18,0.42,18.14,GB,2
9.54,3.44,3.84,0.46,17.28,NES,0
9.63,5.31,0.06,1.38,16.38,X360,1
8.41,5.49,0.47,1.78,16.15,PS2,0
6.06,3.9,5.38,0.5,15.85,GBA,2
5.57,3.28,5.65,0.82,15.32,DS,2
3.44,5.36,5.32,1.18,15.3,DS,2
6.85,5.09,1.87,1.16,14.98,PS2,0
9.03,4.28,0.13,1.32,14.76,X360,1
5.89,5.04,3.12,0.59,14.64,GB,2
9.67,3.73,0.11,1.13,14.64,X360,1
5.17,4.05,4.34,0.79,14.35,3DS,2
5.77,5.81,0.35,2.31,14.24,PS4,0
4.99,5.88,0.65,2.52,14.03,PS3,0
8.25,4.3,0.07,1.12,13.73,X360,1
8.52,3.63,0.08,1.29,13.51,X360,1
5.54,5.82,0.49,1.62,13.46,PS3,0
6.99,4.51,0.3,1.3,13.1,PS2,0
6.75,2.61,2.66,1.02,13.04,Wii,1
5.98,4.44,0.48,1.83,12.73,PS3,0
2.55,3.52,5.33,0.88,12.27,DS,2
4.74,3.91,2.67,0.89,12.21,3DS,2
7.97,2.83,0.13,1.21,12.14,X360,1
